FechaVenta,CodProducto,Producto,Cantidad,PrecioVenta,CodCliente,Cliente,CodTienda,Tienda
2024-01-15,1,Televisor Led 55,2,1000.0,1,Acme Corp,1,Electroshop Online
2024-01-16,2,Lavadora 8Kg,1,450.0,2,Globex Corporation,2,Tienda Central
2024-01-17,3,Refrigerador Doble Puerta,1,750.0,3,Initech,3,Outlet Norte
2024-01-18,4,Microondas 20L,3,300.0,4,Umbrella Corp,4,Electroshop Sur
2024-01-19,5,Aspiradora Sin Bolsa,1,250.0,5,Weyland-Yutani,5,Tienda Premium
2024-01-20,6,Licuadora 600W,2,140.0,6,Stark Industries,6,Electroshop Oeste
2024-01-21,7,Home Theater 5.1,1,200.0,7,Wayne Enterprises,7,Tienda Express
2024-01-22,8,Computadora Portátil 15,1,650.0,8,Dunder Mifflin,8,Electroshop Este
2024-01-23,9,Tablet 10,1,400.0,9,Pied Piper,9,Tienda Online Plus
2024-01-24,10,Smartwatch,2,300.0,10,Hooli,10,Electroshop California
2024-01-25,1,Televisor Led 55,1,500.0,2,Globex Corporation,1,Electroshop Online
2024-01-26,2,Lavadora 8Kg,2,900.0,3,Initech,2,Tienda Central
2024-01-27,3,Refrigerador Doble Puerta,1,750.0,4,Umbrella Corp,3,Outlet Norte
2024-01-28,4,Microondas 20L,1,100.0,5,Weyland-Yutani,4,Electroshop Sur
2024-01-29,5,Aspiradora Sin Bolsa,2,500.0,6,Stark Industries,5,Tienda Premium
2024-01-30,6,Licuadora 600W,1,70.0,7,Wayne Enterprises,6,Electroshop Oeste
2024-01-31,7,Home Theater 5.1,3,600.0,8,Dunder Mifflin,7,Tienda Express
2024-02-01,8,Computadora Portátil 15,1,650.0,9,Pied Piper,8,Electroshop Este
2024-02-02,9,Tablet 10,2,800.0,10,Hooli,9,Tienda Online Plus
2024-02-03,10,Smartwatch,1,150.0,1,Acme Corp,10,Electroshop California
2024-02-04,1,Televisor Led 55,1,500.0,2,Globex Corporation,1,Electroshop Online
2024-02-05,2,Lavadora 8Kg,1,450.0,3,Initech,2,Tienda Central
2024-02-06,3,Refrigerador Doble Puerta,2,750.0,4,Umbrella Corp,3,Outlet Norte
2024-02-07,4,Microondas 20L,1,200.0,5,Weyland-Yutani,4,Electroshop Sur
2024-02-08,5,Aspiradora Sin Bolsa,1,150.0,6,Stark Industries,5,Tienda Premium
2024-02-09,6,Licuadora 600W,3,100.0,7,Wayne Enterprises,6,Electroshop Oeste
2024-02-10,7,Home Theater 5.1,1,300.0,8,Dunder Mifflin,7,Tienda Express
2024-02-11,8,Computadora Portátil 15,1,1000.0,9,Pied Piper,8,Electroshop Este
2024-02-12,9,Tablet 10,2,600.0,10,Hooli,9,Tienda Online Plus
2024-02-13,10,Smartwatch,1,200.0,1,Acme Corp,10,Electroshop California
2024-02-14,1,Televisor Led 55,2,500.0,2,Globex Corporation,1,Electroshop Online
2024-02-15,2,Lavadora 8Kg,1,450.0,3,Initech,2,Tienda Central
2024-02-16,3,Refrigerador Doble Puerta,1,750.0,4,Umbrella Corp,3,Outlet Norte
2024-02-17,4,Microondas 20L,2,200.0,5,Weyland-Yutani,4,Electroshop Sur
2024-02-18,5,Aspiradora Sin Bolsa,1,150.0,6,Stark Industries,5,Tienda Premium
2024-02-19,6,Licuadora 600W,2,100.0,7,Wayne Enterprises,6,Electroshop Oeste
2024-02-20,7,Home Theater 5.1,1,300.0,8,Dunder Mifflin,7,Tienda Express
2024-02-21,8,Computadora Portátil 15,3,1000.0,9,Pied Piper,8,Electroshop Este
2024-02-22,9,Tablet 10,1,600.0,10,Hooli,9,Tienda Online Plus
2024-02-23,10,Smartwatch,2,200.0,1,Acme Corp,10,Electroshop California
